
Date,Open,High,Low,Close,Change,Bullish Bias,Bearish Bias
Thu 18 Dec '25,4,338.890,4,374.655,4,308.670,4,371.280,+33.450 (+0.77%),1.000,0.000
Wed 17 Dec '25,4,303.600,4,349.280,4,302.405,4,337.830,+35.605 (+0.83%),0.000,0.000
Tue 16 Dec '25,4,307.670,4,335.185,4,271.575,4,302.225,−2.685 (−0.06%),0.000,0.000
Mon 15 Dec '25,4,302.985,4,350.285,4,285.515,4,304.910,+5.530 (+0.13%),0.000,0.000
Fri 12 Dec '25,4,282.930,4,353.555,4,257.275,4,299.380,+20.045 (+0.47%),1.000,0.000
Thu 11 Dec '25,4,228.245,4,285.890,4,204.270,4,279.335,+50.560 (+1.20%),1.000,0.000
Wed 10 Dec '25,4,209.445,4,238.785,4,182.080,4,228.775,+20.860 (+0.50%),1.000,0.000
Tue 09 Dec '25,4,191.480,4,221.625,4,169.985,4,207.915,+17.255 (+0.41%),1.000,0.000
Mon 08 Dec '25,4,198.685,4,219.175,4,176.205,4,190.660,−8.025 (−0.19%),0.000,0.000
Fri 05 Dec '25,4,209.410,4,259.340,4,192.055,4,198.685,−10.080 (−0.24%),0.000,1.000
Thu 04 Dec '25,4,206.465,4,219.620,4,174.810,4,208.765,+5.650 (+0.13%),0.000,0.000
Wed 03 Dec '25,4,202.480,4,241.565,4,194.645,4,203.115,−2.550 (−0.06%),0.000,0.000
Tue 02 Dec '25,4,231.770,4,236.150,4,163.805,4,205.665,−26.625 (−0.63%),0.000,0.000
Mon 01 Dec '25,4,226.310,4,264.700,4,205.785,4,232.290,+16.470 (+0.39%),1.000,0.000
Fri 28 Nov '25,4,159.355,4,226.915,4,153.740,4,215.820,+57.020 (+1.37%),1.000,0.000
Thu 27 Nov '25,4,165.255,4,168.750,4,142.730,4,158.800,−4.775 (−0.11%),0.000,0.000
Wed 26 Nov '25,4,134.495,4,173.500,4,129.990,4,163.575,+33.025 (+0.80%),1.000,0.000
Tue 25 Nov '25,4,135.485,4,159.380,4,109.710,4,130.550,−3.425 (−0.08%),0.000,1.000
Mon 24 Nov '25,4,067.610,4,139.890,4,040.020,4,133.975,+68.965 (+1.70%),1.000,0.000
Fri 21 Nov '25,4,073.080,4,101.070,4,022.260,4,065.010,−12.525 (−0.31%),1.000,0.000
Thu 20 Nov '25,4,088.255,4,110.370,4,038.900,4,077.535,−0.315 (−0.01%),0.000,0.000
